,Point,EndPointFrequency,StartPointFrequency,Latitude,Longitude,PointCounts,TotPct,StartPct,EndPct
67,"(51.90057, 4.3166)",66,51,51.90057,4.3166,117,0.05280236121328093,0.03985371342835709,0.07050302842553918
68,"(51.48075, 0.26088)",65,20,51.48075,0.26088,85,0.038360689770332294,0.015628907226806703,0.06943480072212194
69,"(53.57836, -2.27776)",65,11,53.57836,-2.27776,76,0.034298969677002994,0.008595898974743686,0.06943480072212194
70,"(56.01197, -3.779)",65,24,56.01197,-3.779,89,0.04016589870070087,0.018754688672168042,0.06943480072212194
71,"(52.86767, -1.31288)",63,11,52.86767,-1.31288,74,0.033396365211818706,0.008595898974743686,0.06729834531528742
72,"(60.29895, 24.96345)",63,55,60.29895,24.96345,118,0.05325366344587307,0.04297949487371843,0.06729834531528742
73,"(52.11731, 5.04726)",63,11,52.11731,5.04726,74,0.033396365211818706,0.008595898974743686,0.06729834531528742
74,"(53.12698, -1.01543)",62,12,53.12698,-1.01543,74,0.033396365211818706,0.009377344336084021,0.06623011761187014
75,"(60.30387, 24.89406)",62,38,60.30387,24.89406,100,0.045130223259214466,0.029694923730932733,0.06623011761187014
76,"(56.20099, 15.62558)",61,101,56.20099,15.62558,162,0.07311096167992742,0.07892598149537385,0.0651618899084529
77,"(53.8123, -6.92963)",61,258,53.8123,-6.92963,319,0.14396541219689413,0.20161290322580644,0.0651618899084529
78,"(53.61167, -0.65536)",60,98,53.61167,-0.65536,158,0.07130575274955886,0.07658164541135283,0.06409366220503562
79,"(53.40374, -2.52728)",60,51,53.40374,-2.52728,111,0.050094547817728055,0.03985371342835709,0.06409366220503562
80,"(50.71937, 1.59353)",60,103,50.71937,1.59353,163,0.07356226391251958,0.08048887221805451,0.06409366220503562
81,"(53.62505, -0.20348)",59,678,53.62505,-0.20348,737,0.3326097454204106,0.5298199549887471,0.06302543450161836
82,"(53.54125, -2.45428)",58,11,53.54125,-2.45428,69,0.031139854048857978,0.008595898974743686,0.0619572067982011
83,"(53.63454, -0.21147)",56,108,53.63454,-0.21147,164,0.07401356614511173,0.08439609902475619,0.05982075139136658
84,"(59.9101, 10.49337)",56,2,59.9101,10.49337,58,0.026175529490344393,0.0015628907226806702,0.05982075139136658
85,"(53.5758, -0.10017)",55,54,53.5758,-0.10017,109,0.04919194335254376,0.04219804951237809,0.05875252368794932
86,"(55.35537, 9.49505)",55,80,55.35537,9.49505,135,0.06092580139993953,0.06251562890722681,0.05875252368794932
87,"(53.52241, -6.40901)",55,19,53.52241,-6.40901,74,0.033396365211818706,0.014847461865466366,0.05875252368794932
88,"(51.73177, 0.16106)",54,5,51.73177,0.16106,59,0.026626831722936534,0.003907226806701676,0.05768429598453207
89,"(56.1628, 14.81778)",54,146,56.1628,14.81778,200,0.09026044651842893,0.11409102275568893,0.05768429598453207
90,"(52.55153, -0.18198)",54,71,52.55153,-0.18198,125,0.05641277907401808,0.05548262065516379,0.05768429598453207
91,"(52.52395, -1.70136)",54,34,52.52395,-1.70136,88,0.03971459646810873,0.02656914228557139,0.05768429598453207
92,"(51.51882, -0.10425)",54,9,51.51882,-0.10425,63,0.02843204065330511,0.007033008252063015,0.05768429598453207
93,"(51.11623, 3.78219)",54,107,51.11623,3.78219,161,0.07265965944733528,0.08361465366341585,0.05768429598453207
94,"(51.74867, 0.51787)",54,7,51.74867,0.51787,61,0.027529436188120825,0.005470117529382345,0.05768429598453207
95,"(51.95229, 1.32532)",53,1313,51.95229,1.32532,1366,0.6164788497208695,1.02603775943986,0.056616068281114804
96,"(54.68215, -5.98591)",52,33,54.68215,-5.98591,85,0.038360689770332294,0.02578769692423106,0.05554784057769754
97,"(51.87171, 4.42906)",52,91,51.87171,4.42906,143,0.06453621926067668,0.07111152788197049,0.05554784057769754
98,"(52.29191, 0.3908)",52,35,52.29191,0.3908,87,0.03926329423551658,0.027350587646911728,0.05554784057769754
99,"(57.19037, 14.06085)",52,3,57.19037,14.06085,55,0.024821622792567957,0.0023443360840210052,0.05554784057769754
100,"(51.77045, -0.24994)",52,19,51.77045,-0.24994,71,0.03204245851404227,0.014847461865466366,0.05554784057769754
101,"(51.75139, 0.51664)",51,15,51.75139,0.51664,66,0.029785947351081546,0.011721680420105025,0.054479612874280284
102,"(55.73546, -4.16584)",51,21,55.73546,-4.16584,72,0.03249376074663441,0.016410352588147038,0.054479612874280284
103,"(52.35508, -1.16128)",51,16,52.35508,-1.16128,67,0.030237249583673693,0.012503125781445362,0.054479612874280284
104,"(51.09610224, 1.1405825)",51,65,51.09610224,1.1405825,116,0.052351058980688786,0.050793948487121786,0.054479612874280284
105,"(52.16428, 5.59166)",51,22,52.16428,5.59166,73,0.03294506297922656,0.017191797949487372,0.054479612874280284
106,"(56.1667, 14.81947)",50,809,56.1667,14.81947,859,0.38766861779665224,0.632189297324331,0.05341138517086302
107,"(52.35749, -1.14591)",50,13,52.35749,-1.14591,63,0.02843204065330511,0.010158789697424356,0.05341138517086302
108,"(55.74717, 9.59387)",50,21,55.74717,9.59387,71,0.03204245851404227,0.016410352588147038,0.05341138517086302
109,"(55.8277, -3.98129)",50,14,55.8277,-3.98129,64,0.028883342885897258,0.01094023505876469,0.05341138517086302
